time,x,y,z,a
0.05241573,0.0,0.0,0.0,0.0
0.057268178,-0.17537189,0.1955359,-0.34534287,0.43387935
0.062120626,-0.69016981,0.49106002,-0.71871758,1.1108687
0.066973073,-0.60967565,0.82123518,-0.31655574,1.0706723
0.071825521,-0.59700346,1.1869421,-0.10543132,1.3328017
0.076677969,-0.63516331,1.3347819,-0.25832129,1.5006015
0.081530365,-0.52831769,1.2667418,0.11080074,1.3769644
0.086382813,-0.38976598,0.9964025,0.27803278,1.1054581
0.091235261,-0.31161976,0.62699556,0.53487492,0.88109108
0.096087709,-0.22877479,0.19902611,0.96194124,1.0086031
0.10094016,-0.039469004,-0.23544884,1.5184159,1.5370689
0.10579261,0.2110579,-0.62162876,2.1351695,2.2338121
0.11064505,0.41742229,-1.0100255,2.6440854,2.8610454
0.1154975,0.82225394,-1.3689511,3.1701169,3.5496154
0.12034995,0.86995602,-1.6321746,3.44733,3.9121479
0.12520234,0.85555482,-1.9488757,3.4397898,4.0450271
0.13005479,1.0229087,-2.3285577,3.1440911,4.0439872
0.13490724,1.1741087,-2.5313396,2.2769518,3.6014887
0.13975969,1.2034435,-2.4348576,1.2548146,2.9918836
0.14461214,1.1629646,-2.0685186,0.54068613,2.4338442
0.14946458,1.2060952,-1.5339637,-0.00049543381,1.9513356
0.15431703,1.3607935,-1.1422554,-0.40914774,1.8231589
0.15916948,1.4300483,-0.89916551,-0.69284296,1.8258062
0.16402193,1.3557652,-0.66687799,-1.0342946,1.8310082
0.16887438,1.1527054,-0.42373323,-1.3402081,1.8178111
0.17372682,0.99603832,-0.21315217,-1.697823,1.9799316
0.17857927,0.99268401,0.029007554,-2.1728253,2.3890234
0.18343167,1.015028,0.19122195,-2.3026996,2.5237419
0.18828412,1.0345225,0.19055593,-2.3027601,2.5316502
0.19313656,0.99576783,0.11709249,-2.1074412,2.3337893
0.19798901,0.98812199,0.087829232,-1.7547297,2.015732
0.20284146,1.2090811,0.21901238,-1.4737535,1.9187998
0.20769391,1.5561147,0.50113761,-1.2989578,2.0880429
0.21254636,1.7847176,0.82779121,-1.2405682,2.3258255
0.2173988,2.0297446,1.0377699,-1.1925192,2.5727284
0.22225125,2.3959415,1.1651822,-0.8960638,2.8108923
0.2271037,2.8809433,1.2272042,-0.62069082,3.1923536
0.23195615,3.0557775,1.5882344,-1.1671066,3.6362622
0.23680854,3.768579,1.6311139,-1.2413821,4.2899592
0.24166099,4.0563841,1.5958544,-1.0749431,4.4895997
0.24651344,3.6180027,1.5694344,-0.57580519,3.9855513
0.25136589,2.7537906,1.6091024,-0.011382103,3.1894675
0.25621833,1.7633352,1.7308556,0.93026543,2.6401905
0.26107078,0.85380399,1.7575325,2.6555257,3.2969256
0.26592323,-0.033599019,1.5281681,5.1631265,5.3846357
0.27077568,-1.1151004,1.1897629,8.6009064,8.7541176
0.27562813,-1.6948978,0.64192367,11.458241,11.60069
0.28048057,-1.7559115,0.010770798,13.555885,13.669139
0.28533302,-1.9276443,-0.45712972,15.922245,16.04502
0.29018542,-1.6893754,-0.8314358,17.821733,17.920922
0.29503786,-0.67515773,-1.3065972,18.459421,18.517917
0.29989031,0.47569644,-1.6614368,17.941629,18.02467
0.30474276,1.2910097,-1.6901089,16.770683,16.904999
0.30959521,1.9679447,-1.47484,15.598541,15.791214
0.31444766,2.3957274,-0.8923502,14.178971,14.407603
0.3193001,2.5308599,0.21209455,12.801098,13.050607
0.32415255,2.3916256,1.8337368,12.280712,12.645092
0.329005,1.970486,3.8120852,12.547951,13.261443
0.33385745,0.98919469,5.8639889,13.424748,14.682941
0.3387099,-0.42531312,7.6595011,14.628667,16.518073
0.34356229,-1.9132601,9.0105028,16.301949,18.724403
0.34841474,-3.1284585,9.7028828,18.394836,21.031006
0.35326719,-3.8889894,9.6474724,20.619011,23.094189
0.35811964,-4.3463817,8.8533363,22.712324,24.761306
0.36297208,-4.5102243,7.3708763,24.234669,25.729188
0.36782453,-4.5839496,5.4944372,24.678421,25.694861
0.37267698,-4.4128575,3.4322855,23.954552,24.598261
0.37752943,-4.0344815,1.5194428,22.537136,22.945768
0.38238188,-3.4693935,0.24683237,20.797718,21.086552
0.38723432,-2.9265146,-0.22998428,18.950317,19.176337
0.39208672,-2.253639,-0.0072178841,17.00687,17.155541
0.39693917,-1.5296118,0.67182302,15.096354,15.188515
0.40179162,-0.93639946,1.4631329,12.835931,12.952943
0.40664406,-0.53864956,2.2283196,9.9400234,10.200962
0.41149651,-0.43104839,2.9635148,6.9635687,7.5802052
0.41634896,-0.54414725,3.4694543,4.481163,5.6933322
0.42120141,-0.52156019,3.4905515,3.0137138,4.6409531
0.42605386,-0.25149393,3.0410919,2.2921457,3.8164671
