time,x,y,z,a
0.029094229,0.5374878,3.260819,9.4492569,10.010509
0.031566104,0.750449,3.0909286,9.2602234,9.7912589
0.034038135,0.96101737,2.9114668,9.1118689,9.6138623
0.036510479,1.1524432,2.7535408,8.9898348,9.4724464
0.038983083,1.2888341,2.6219354,8.8151588,9.2866928
0.041455896,1.3821542,2.4735804,8.5639124,9.0205069
0.043928344,1.4347963,2.2893331,8.2959166,8.7247876
0.046401,1.4347963,2.1337996,8.1236324,8.5208653
0.048873708,1.3773686,2.0524435,8.0638123,8.4341411
0.05134626,1.2960125,2.0141585,8.1164541,8.4624648
0.053818604,1.1859428,2.0165513,8.2887373,8.6125551
0.056290896,1.0447662,2.0141585,8.4107714,8.7114549
0.058763344,0.88683987,2.0045872,8.4347,8.7148734
0.061235583,0.71934229,2.0069799,8.4370928,8.702296
0.06370751,0.60209399,2.0045872,8.4275217,8.6835482
0.066179854,0.52791649,2.0117657,8.4418783,8.6943204
0.068652094,0.4657031,2.0333011,8.4921274,8.7445652
0.07112376,0.42023948,2.0835502,8.5471621,8.8074833
0.073596,0.3699902,2.1457636,8.6141615,8.8850983
0.076068292,0.32691941,2.1888344,8.6835537,8.9611371
0.078540323,0.27906293,2.2319052,8.7361956,9.021108
0.081012771,0.21924238,2.2869403,8.7888374,9.0841525
0.083484698,0.1594218,2.3515465,8.8295155,9.1386831
0.085956573,0.10199407,2.425724,8.8725863,9.1987677
0.088429177,0.058923259,2.4903302,8.9371929,9.2778572
0.090901365,0.025423741,2.5669005,9.0017986,9.3606625
0.09337324,-0.0080757765,2.6338995,9.0352983,9.4113818
0.095845531,-0.027218357,2.6937201,9.0687981,9.4604422
0.098317771,-0.04636094,2.7631118,9.1118689,9.5217168
0.10079006,-0.067896344,2.830111,9.1501541,9.5780718
0.10326246,-0.075074807,2.9042885,9.1860466,9.6345202
0.10573506,-0.070289165,2.9832516,9.1956177,9.6676841
0.10820699,-0.055932228,3.0406795,9.202796,9.6922811
0.11067928,-0.02961118,3.0909286,9.2267237,9.730732
0.11315183,0.03260221,3.1603205,9.2650089,9.7892328
0.11562459,0.11156536,3.2273195,9.3344011,9.8772001
0.11809788,0.20249261,3.2919257,9.4755774,10.033162
0.12057058,0.32931221,3.3565319,9.7459669,10.313032
0.12304319,0.4848457,3.4211383,10.124033,10.697444
0.12551574,0.69541407,3.4642091,10.490134,11.069203
0.12798829,0.93230355,3.4713874,10.738988,11.324557
0.130461,1.1596217,3.4570305,10.820344,11.418215
0.13293371,1.3510475,3.4235311,10.71506,11.329537
0.1354059,1.4946169,3.3589249,10.502099,11.127009
0.13787866,1.6238292,3.2679975,10.234102,10.865242
0.14035131,1.7291135,3.153142,9.9230356,10.554562
0.14282329,1.8008982,3.0143583,9.6143618,10.235504
0.14524715,1.8607187,2.8707891,9.3487577,9.9550477
0.14767095,1.9157536,2.7463622,9.1381893,9.7323749
0.15009433,1.992324,2.6267211,8.9754782,9.5618109
0.1525185,2.0760727,2.4975085,8.8582296,9.4348216
0.1549423,2.1478574,2.4017956,8.7984085,9.3698402
0.15736642,2.233999,2.3252254,8.803194,9.3751613
0.15979043,2.3105693,2.2462623,8.8486586,9.4171749
0.16221433,2.3871398,2.1792631,8.9324074,9.4992382
0.16463808,2.4637101,2.1146569,9.049655,9.6144629
0.16706235,2.5259235,2.047658,9.1764746,9.7355471
0.1694861,2.5642085,1.9926231,9.3032942,9.8537807
0.17191048,2.5666013,1.9686948,9.4157572,9.9558869
0.17433423,2.5570302,1.9591235,9.5066843,10.03761
0.17675834,2.5283163,1.9495523,9.580862,10.098815
0.17918209,2.4756742,1.9591235,9.6502533,10.153547
0.18160569,2.4326034,1.9830518,9.6933241,10.188748
0.1840298,2.3751755,2.0141585,9.71486,10.201804
0.18645381,2.300998,2.0548365,9.7363949,10.213439
0.18887814,2.2292135,2.1098714,9.755538,10.226997
0.19130199,2.1454647,2.1744776,9.7675018,10.234035
0.19372626,2.044966,2.2319052,9.7794657,10.237247
0.19615017,1.9348962,2.2965117,9.7866449,10.237002
0.19857423,1.8200407,2.3563321,9.7842522,10.22724
0.20099855,1.7243278,2.3898315,9.7818594,10.216133
0.20342288,1.6286149,2.4400809,9.7890377,10.21918
0.20584668,1.5209379,2.4855444,9.7890377,10.213542
0.20827131,1.4324034,2.5214369,9.7842522,10.20495
0.21069527,1.3390833,2.5525436,9.7770729,10.193124
0.21311928,1.250549,2.5573292,9.7698946,10.17618
0.21554308,1.1883355,2.5692933,9.7603235,10.162545
0.21796725,1.128515,2.5788646,9.7387886,10.13746
0.22039147,1.0543375,2.5860431,9.7172527,10.110601
0.22281527,0.99212408,2.5956144,9.6909313,10.081452
0.22523939,0.95144612,2.5788646,9.652647,10.036403
0.22766308,0.93469632,2.5477579,9.6287184,10.003847
0.23008735,0.91076809,2.5310082,9.5976114,9.9674293
0.23251137,0.8844471,2.5238297,9.5521479,9.9194502
0.234936,0.87009013,2.5214369,9.5210409,9.8876145
0.23736027,0.85573322,2.5022943,9.4971132,9.8584439
0.23978402,0.85573322,2.4855444,9.458828,9.8173131
0.24220834,0.86051887,2.4664021,9.4396849,9.7944516
0.24463256,0.84855473,2.4472594,9.4492569,9.7978355
0.24705657,0.84376907,2.425724,9.4899349,9.8313248
0.2494809,0.87248296,2.4065814,9.5665045,9.9030737
0.25190501,0.8844471,2.385046,9.643075,9.9729427
0.25432902,0.89401835,2.3778675,9.6957178,10.022997
0.25675277,0.91555375,2.4017956,9.7363949,10.069968
0.25917678,0.92033941,2.3970101,9.7603235,10.092403
0.26160121,0.93230355,2.3802602,9.7627163,10.091851
0.26402532,0.9418748,2.3946173,9.7411814,10.075313
0.26644902,0.92751789,2.4089742,9.71486,10.051962
0.26887324,0.91555375,2.425724,9.6981106,10.038711
0.27129683,0.91316092,2.4496522,9.6693964,10.016581
0.27372095,0.90837532,2.4544377,9.6263256,9.9757483
0.27614438,0.90119684,2.464009,9.5832548,9.9359081
0.27856829,0.89641118,2.4568307,9.5282202,9.8806149
0.28099215,0.90598249,2.4568307,9.4707918,9.8261243
0.28341595,0.91555375,2.4807589,9.4085789,9.7731141
0.2858398,0.90837532,2.464009,9.3511505,9.7129039
0.28826371,0.91076809,2.4448664,9.2961159,9.6552908
0.29068814,0.91316092,2.425724,9.2530451,9.6092062
0.29311215,0.90837532,2.4041886,9.2386885,9.5895064
