time,x,y,z,a
0.018818397,-5.8705826,2.9305029,6.5026517,9.2377522
0.02437348,-5.2863975,2.7198131,6.9910688,9.1770597
0.029378333,-4.7884035,2.5378537,7.7189064,9.4313851
0.034383261,-4.2137952,2.2888567,8.2264767,9.5220719
0.039388189,-3.9360676,2.2026656,8.5808191,9.6940611
0.044393118,-3.7253778,2.135628,9.1362734,10.09509
0.049367354,-3.6583402,2.078167,9.4714622,10.36392
0.054372282,-3.916914,2.1739352,9.9694557,10.929696
0.059377211,-4.4436383,2.2697031,10.821792,11.916738
0.064382139,-4.7979803,2.5761611,11.530476,12.751827
0.06938699,-4.6160207,2.8060043,11.195287,12.430437
0.074391919,-4.6255975,2.9209261,10.764331,12.074717
0.079396847,-4.6926355,2.9688101,10.639832,12.001696
0.084371083,-4.5968671,3.2561142,10.726024,12.115323
0.089376012,-4.9607859,3.2465374,10.457873,12.021502
0.09438094,-4.5681367,3.3518825,9.8928413,11.400496
0.099385791,-4.5202527,3.5529952,9.5959606,11.186551
0.10439072,-4.2808328,3.4476504,9.1841574,10.703297
0.10939565,-3.7062242,3.0741551,8.8681231,10.091092
0.11436988,-2.9209261,2.7006595,8.446744,9.3366404
0.11937481,-4.6160207,4.1276035,7.1155677,9.4327123
0.12437974,-4.0605659,4.6639051,6.6367273,9.0711828
0.12938459,-3.7924154,4.8267107,6.1483102,8.6879957
0.13438952,-3.6487634,4.4340615,5.8322754,8.1847304
0.13939445,-2.6144683,3.8402996,5.4396262,7.1535221
0.14436869,-3.41892,3.5242648,5.5545478,7.413667
0.14937362,-3.1124623,4.0605659,6.4068837,8.1990107
0.15437847,-4.2808328,4.9512091,7.9295959,10.28195
0.15938339,-4.175488,5.2097831,7.9487495,10.380711
0.16438832,-4.8362875,5.544971,8.8106623,11.478857
0.16939325,-4.7022123,5.4683566,9.481039,11.912339
0.17436749,-4.7979803,5.3342814,9.6917286,12.05839
0.17937242,-4.3957543,4.1850648,10.304645,11.959228
0.18437734,-4.0701427,3.3327289,11.224017,12.395632
0.18938227,-3.0454245,1.982399,12.124237,12.657079
0.19438712,-1.8866309,0.48841715,12.53604,12.686616
0.19939205,-0.47884035,0.65122288,10.266336,10.298109
0.20439698,1.0342951,0.56503159,9.7970734,9.8677086
0.20937122,2.7868507,0.40222588,10.113108,10.497774
0.21437615,2.6815059,0.48841715,9.6342678,10.012399
0.219381,1.9728222,0.58418524,8.1881695,8.442714
0.22438593,2.0015526,0.16280572,6.4643445,6.7690818
0.22939085,1.8770541,-0.0095768068,5.8418522,6.1360134
0.23439578,2.7102363,-0.11492168,5.0374002,5.7213625
0.23937002,3.2369606,-0.20111294,4.1371803,5.2568642
0.24437495,3.5817258,0.49799395,3.7541082,5.2124933
0.24937988,4.4340615,0.54587799,3.8881836,5.9225717
0.25438473,4.5298295,0.77572137,4.1946416,6.2222277
0.25938966,4.1276035,0.83318222,4.6639051,6.283575
0.26439458,3.86903,0.98641109,5.0374002,6.4278924
0.26936882,3.265691,1.2162545,5.3821654,6.411842
0.27437375,2.9688101,1.6950948,5.9950809,6.9013169
0.2793786,2.0973208,1.8579005,6.3398461,6.9313922
0.28438353,1.8866309,2.1547816,6.6654577,7.2547079
0.28938846,1.8387469,2.2888567,7.0102224,7.6002022
0.29439338,1.4939818,2.4037786,7.0581064,7.6044066
0.29936762,1.0726024,2.4229321,6.9719152,7.4584635
0.30437255,0.83318222,2.5282769,6.8953009,7.3913159
0.30937748,0.75656772,2.8251581,6.9144545,7.5075691
0.31438233,0.40222588,2.9879637,6.9336081,7.5607297
0.31938726,0.10534488,2.9209261,7.3549876,7.9144646
