time,x,y,z,a
0.052919129,0.0,0.0,0.0,0.0
0.057771576,0.0055265427,-0.050707817,-0.21090794,0.21698844
0.062624024,0.098096609,-0.12336493,-0.3640213,0.3966779
0.067476472,0.20204377,-0.14008617,-0.4417057,0.50551929
0.07232892,0.23386216,-0.040725708,-0.51428699,0.56642847
0.077181368,0.19412601,0.10753393,-0.57849407,0.61959975
0.082033816,0.16673338,0.29396486,-0.55795956,0.65232985
0.086886264,0.12132716,0.48451853,-0.45125484,0.67313403
0.091738712,0.12896061,0.60197687,-0.35099411,0.70866343
0.09659116,0.037103534,0.68924189,-0.32138443,0.7613928
0.10144361,0.090090275,0.61226082,-0.50687313,0.79993746
0.106296,0.16953242,0.45891142,-0.68559647,0.84224904
0.11114845,0.1975354,0.24513721,-0.89716911,0.95080224
0.1160009,0.163028,-0.0014128685,-1.0895405,1.1016708
0.12085335,0.18648291,-0.22112322,-1.2895422,1.3215863
0.1257058,0.27183628,-0.38410187,-1.5019889,1.5739758
0.13055824,0.28779364,-0.49932194,-1.666225,1.7630806
0.13541069,0.28573883,-0.57650948,-1.9348297,2.0390135
0.14026314,0.32291031,-0.70362806,-2.1721945,2.3060339
0.14511559,0.4218601,-0.8306241,-2.2717338,2.4553364
0.14996804,0.44932413,-0.91447496,-2.1854129,2.4112623
0.15482048,0.41110277,-0.98894119,-2.6088095,2.8200881
0.15967293,0.37223017,-1.0496039,-2.8914719,3.0985211
0.16452538,0.41827559,-1.1264505,-3.2993035,3.511303
0.16937783,0.47741121,-1.2369423,-3.6032267,3.8394257
0.17423022,0.53273654,-1.3614366,-3.6882243,3.9674068
0.17908267,0.55391842,-1.3610039,-3.7561781,4.0333648
0.18393512,0.60229039,-1.3554244,-3.7497196,4.0324095
0.18878757,0.63737327,-1.1071014,-3.4604139,3.6886831
0.19364001,0.64261442,-0.86219788,-3.1487923,3.327346
0.19849246,0.70339149,-0.70791245,-2.8635449,3.032456
0.20334491,0.93963742,-0.71220732,-2.6269174,2.8793841
0.20819736,1.1175828,-0.78131342,-2.4165325,2.7747201
0.21304981,1.2125916,-0.84549093,-2.1989579,2.6496508
0.21790225,1.1941204,-0.83258605,-2.1646771,2.6086299
0.2227547,1.1912396,-0.78657961,-2.2500219,2.6646497
0.22760715,1.1340214,-0.7341187,-2.3628998,2.7218064
0.2324596,1.1173927,-0.68038344,-2.4438872,2.772016
0.23731205,1.1546015,-0.76583648,-2.57725,2.9260601
0.24216449,1.0622066,-1.0392735,-2.5836926,2.980577
0.24701694,1.0323896,-1.5537589,-2.3765116,3.0212253
0.25186934,1.1486571,-2.2850895,-2.0454192,3.274872
0.25672179,1.4649327,-3.0324264,-1.5538497,3.7089198
0.26157423,1.8005612,-3.6454005,-1.4537206,4.317901
0.26642668,2.0703435,-4.1469102,-1.6070828,4.9057009
0.27127913,2.4482887,-4.6034331,-1.6969886,5.4832002
0.27613158,2.7555082,-5.0140567,-1.790607,5.9949865
0.28098402,2.9734046,-5.2625728,-1.8742719,6.3284044
0.28583647,3.16541,-5.3217115,-1.7938962,6.4465881
0.29068892,3.3277423,-5.3403659,-1.5766296,6.4868434
0.29554137,3.2966568,-5.2806816,-1.5895557,6.4249694
0.30039382,3.0092554,-5.0978961,-1.6436749,6.1437635
0.30524626,2.5629821,-4.7357979,-1.732173,5.6565963
0.31009871,2.0630765,-4.1718554,-1.9000053,5.0269954
0.31495116,1.5028348,-3.4263256,-2.0783768,4.279938
0.31980361,1.0660384,-2.5970178,-2.2206383,3.5794096
0.32465606,0.74490225,-1.8110487,-2.3042049,3.0239275
0.32950845,0.43298757,-1.1468121,-2.3466315,2.647515
0.3343609,0.096540511,-0.61615849,-2.2896342,2.3730563
0.33921335,-0.28565183,-0.24331141,-2.0849986,2.1184939
0.3440658,-0.40759367,0.025021076,-1.5861015,1.6378268
0.34891824,-0.35938174,0.17286849,-0.96173143,1.0411369
0.35377069,-0.41312581,0.17983055,-0.40862322,0.60826384
0.35862314,-0.49718112,0.061211586,0.13865328,0.51976981
0.36347559,-0.20634925,-0.25959003,0.72079802,0.79342093
0.36832804,0.19441754,-0.69990158,1.1089969,1.3257204
0.37318048,0.14809287,-1.0013238,1.3346715,1.6750907
0.37803293,0.1719453,-1.2552993,1.4496632,1.925322
0.38288538,0.37461066,-1.3936075,1.5709829,2.1331813
0.38773783,0.50643659,-1.4740224,1.8824487,2.443938
0.39259027,0.51208127,-1.5183558,2.4120913,2.8958273
0.39744272,0.3182146,-1.3857664,3.1783814,3.4819129
0.40229512,0.2517159,-1.2210743,4.1667037,4.3492302
0.40714757,0.29026452,-1.2145026,5.1785488,5.3269727
0.41200001,0.31276843,-1.3339363,6.0912085,6.243399
0.41685246,0.34605303,-1.4769155,7.0599546,7.2210797
0.42170491,0.40893918,-1.5918758,8.0868282,8.2521567
0.42655736,0.4255003,-1.5261465,9.0721931,9.2094985
0.43140981,0.18375623,-1.3034208,9.8750029,9.9623468
0.43626225,-0.22348821,-1.0268917,10.667874,10.719515
0.4411147,-0.7105121,-0.73434478,11.670968,11.715613
0.44596715,-1.2009007,-0.39727235,12.957717,13.019309
0.4508196,-1.7051636,0.080841422,14.399785,14.500618
0.45567204,-2.0594108,0.66069198,15.903479,16.04987
0.46052449,-2.2953935,1.2132801,17.520546,17.711872
0.46537689,-2.3617692,1.6420218,18.443129,18.666097
0.47022934,-2.1358609,1.8394661,18.835609,19.04536
0.47508179,-1.8528686,1.9848709,18.884174,19.078388
0.47993423,-1.5781798,1.9708948,18.744541,18.913828
0.48478668,-1.3448555,1.840676,18.603771,18.742919
0.48963913,-0.93903613,1.7244806,18.874184,18.976049
0.49449158,-0.25582629,1.6700616,18.563789,18.640516
0.49934402,0.25900549,1.8780053,17.353645,17.45689
0.50419647,0.34020779,2.4182241,16.512592,16.692191
0.50904892,0.10078502,3.069962,16.325272,16.611722
0.51390137,-0.18496308,3.8144879,16.303486,16.744796
0.51875382,-0.54342771,4.6529198,16.208004,16.871407
0.52360626,-0.85232651,5.4204159,16.140949,17.048097
0.52845871,-0.94050431,6.0145493,16.303284,17.40277
0.53331116,-0.67178547,6.3806229,16.771072,17.956406
0.53816361,-0.40224588,6.430974,17.366108,18.522984
0.543016,-0.20184685,6.2667036,17.776531,18.849864
0.54786845,0.022610843,5.8413558,17.871021,18.801472
0.5527209,0.23882601,5.2037411,17.578587,18.334194
0.55757335,0.34039599,4.5066133,16.819206,17.41583
0.5624258,0.4595713,3.6098657,15.800367,16.214005
0.56727824,0.69098079,2.7071972,14.912405,15.171888
0.57213069,0.82754302,1.9034572,13.818458,13.973466
0.57698314,0.71317929,1.2330372,12.732976,12.812403
0.58183559,0.50200409,0.68303299,12.127785,12.157372
0.58668804,0.12486278,0.24421906,11.386793,11.390096
0.59154048,-0.17999275,-0.11279297,10.099075,10.101309
0.59639293,-0.20653521,-0.81648922,8.5241632,8.5656681
0.60124538,-0.24456203,-1.8641834,6.7672367,7.0235663
0.60609783,-0.50892693,-2.9895563,5.0819197,5.9179693
0.61095022,-0.68501616,-4.1380291,3.8100185,5.6664604
0.61580267,-0.78209317,-5.1189032,2.9299879,5.949762
0.62065512,-0.87019467,-5.8008184,2.1595335,6.2506254
0.62550757,-1.0871261,-6.255023,1.2066898,6.4624497
0.63036001,-1.2894953,-6.4609427,0.19466782,6.5912423
0.63521246,-1.3918282,-6.5110321,-0.70241642,6.6950813
0.64006491,-1.4816849,-6.5227375,-1.4639473,6.8472357
0.64491736,-1.4563098,-6.5831871,-2.4187479,7.1630672
0.64976981,-1.3347347,-6.6597071,-3.4751606,7.6295449
0.65462225,-0.78434044,-6.6196165,-4.3547573,7.9623127
0.6594747,-0.53962499,-6.5732718,-6.2898202,9.1137772
0.66432715,-0.18066746,-6.4328318,-8.529644,10.68498
