time,x,y,z,a
0.030957875,0.0,0.0,0.0,0.0
0.035728552,-0.011612773,-0.13226247,0.54936123,0.56517783
0.040498448,0.087856889,-0.15992475,0.85980892,0.87895742
0.04526923,-0.082792759,0.32947946,0.34171391,0.48185034
0.050040688,-0.0016782284,0.46092534,-0.64103603,0.78954555
0.054811365,0.17931581,0.30555534,-1.6146507,1.6530624
0.059581313,0.91198957,0.3458631,-2.1412935,2.3529735
0.064352042,1.4401933,1.6011572,-2.2122421,3.0873737
0.0691235,1.5279276,1.0715842,-1.8824625,2.6507585
0.073894177,1.8685727,0.45620537,-2.4277649,3.0973746
0.078664073,1.8372687,0.26433086,-2.6162376,3.2078227
0.083434855,1.2331778,0.49829555,-2.7175078,3.0255371
0.088206313,0.44221222,0.97774696,-2.6116228,2.8234933
0.092977042,-0.18512964,1.2123826,-2.3684092,2.6671157
0.097746886,-0.63284206,1.0770564,-2.2262807,2.5528152
0.10251767,-1.2315226,0.69412947,-2.3598576,2.7508892
0.10728913,-1.6503171,0.12829399,-2.3741236,2.8942129
0.11205986,-1.6043055,-0.39817834,-2.1230354,2.6906545
0.1168297,-2.0062091,-0.56878972,-2.2911916,3.0980568
0.12160048,-2.4001427,-0.77190733,-2.6508646,3.6583615
0.12637194,-2.5112078,-0.94062304,-2.6952009,3.801979
0.13114267,-2.6054492,-1.0818903,-2.7539506,3.9424734
0.13591251,-2.2961853,-1.2438877,-2.6734076,3.7372224
0.14068329,-2.0521424,-1.2714202,-2.8323145,3.7215324
0.14545475,-1.6252244,-1.5087771,-3.1611748,3.861449
0.15022548,-0.95349908,-2.8931732,-2.9417825,4.2348195
0.15499538,-0.74407411,-5.0250654,-1.9156775,5.4290652
0.15976611,-1.7902541,-4.5177393,-1.4406037,5.0685617
0.16453756,-1.8782701,-2.6926568,0.24462223,3.2921329
0.16930829,-0.81469774,-0.050652027,1.4799967,1.690174
0.17407814,0.57075167,2.3812792,1.6425381,2.9485894
0.17884892,2.0824804,2.9415121,0.55172634,3.6460417
0.18362038,3.3898716,1.5934021,0.18084145,3.7500485
0.1883911,3.5485992,-0.44773769,0.63941288,3.6334384
0.19316095,2.5622871,-2.0013385,0.63128376,3.3119768
0.19793173,1.3738499,-2.5221331,0.55169487,2.9245489
0.20270319,-0.050657749,-2.4766233,0.44039536,2.5159843
0.20747392,-0.95938563,-2.195436,0.51389694,2.4503979
0.21224381,-0.89595485,-1.9994141,1.2071257,2.5015084
0.21701454,-0.16373849,-2.1035149,1.6654186,2.687974
0.221786,0.18540049,-1.7214466,1.5315866,2.3116032
0.22655673,0.11191797,-1.3075252,1.0283689,1.6672403
0.23132662,-0.22629023,-0.90856552,0.42351818,1.0276508
0.23609736,-0.63162518,-0.67853808,-0.016937256,0.92717375
0.24086881,-1.0694177,-0.49944103,-0.53056574,1.2940617
0.24563954,-1.0558014,-0.41237807,-1.0524149,1.5467221
0.25040944,-0.47464848,-0.72358942,-1.652523,1.8653968
0.25518017,-0.74628234,-0.64591086,-2.8905873,3.0544448
