time,x,y,z,a
0.04878829,0.0,0.0,0.0,0.0
0.05364079,0.0097196102,-0.010270596,-0.02712059,0.030585656
0.05849329,-0.0028836727,-0.049602985,-0.15185642,0.15977842
0.063345842,0.014562845,-0.10459661,-0.31529808,0.33251377
0.068198342,0.12593222,-0.17926598,-0.46604347,0.5149677
0.073050842,0.18488622,-0.18770027,-0.50022602,0.56536747
0.077903342,0.21314168,-0.16427565,-0.57107162,0.63129919
0.082755842,0.15413022,-0.12955475,-0.6850071,0.71398549
0.087608342,0.10024786,-0.081037045,-0.80778408,0.81800474
0.092460842,0.099199772,-0.05955267,-0.91309738,0.9203988
0.097313342,0.13947344,-0.075243235,-0.92200756,0.93552783
0.10216584,0.12569499,-0.032986403,-0.86300373,0.87273293
0.10701834,0.098686695,-0.0093417168,-0.76812649,0.77449637
0.11187089,0.10921407,0.03322506,-0.61601448,0.62650256
0.11672339,0.11622524,0.10329938,-0.54266834,0.56450686
0.12157589,0.13311362,0.22274876,-0.52666569,0.58712264
0.12642839,0.1006434,0.34942794,-0.57342625,0.67900415
0.13128089,0.088956594,0.48848629,-0.54854965,0.73989111
0.13613339,0.089738131,0.63792109,-0.51681137,0.82588755
0.14098589,0.083849192,0.78190875,-0.51006222,0.93732356
0.14583839,0.028431416,0.91402245,-0.47195053,1.0290688
0.15069089,0.0013341904,1.0025985,-0.45576096,1.1013281
0.15554339,-0.026141882,1.2276139,-0.4874773,1.3211183
0.16039595,-0.15038705,1.6063728,-0.45243549,1.6756336
0.16524845,0.046529412,1.2768755,-0.62892818,1.4241231
0.17010095,0.17384434,0.96499062,-0.78348827,1.2551026
0.17495345,0.28167987,0.72629881,-0.83848095,1.1445103
0.17980595,0.38133252,0.47134542,-0.87776899,1.0667987
0.18465845,0.52283561,0.18540788,-0.92682505,1.0801564
0.18951095,0.58285987,-0.067095757,-0.88778687,1.0641396
0.19436345,0.70748127,-0.22129369,-0.77935505,1.0755905
0.19921595,0.88522875,-0.39024472,-0.52669811,1.1015134
0.20406845,0.9473176,-0.52307391,-0.35878468,1.1400629
0.208921,1.0318556,-0.70479441,-0.23333931,1.2711838
0.2137735,1.1357752,-0.94099975,-0.15843201,1.4834307
0.218626,1.139685,-1.062443,-0.15610695,1.565898
0.2234785,1.150511,-1.1789269,-0.14558887,1.6537051
0.228331,1.170046,-1.2131093,-0.16706562,1.6936802
0.2331835,1.1303726,-1.1525514,-0.25500107,1.6343631
0.238036,1.061191,-1.0641792,-0.41745472,1.5597667
0.2428885,0.96345192,-0.91769314,-0.66933346,1.489432
0.247741,0.84012902,-0.74884439,-0.89683104,1.4390589
0.2525935,0.67069578,-0.53199363,-1.1242466,1.4130748
0.257446,0.46110225,-0.31238341,-1.3354368,1.4469244
0.26229855,0.35979956,-0.10860205,-1.4677362,1.5150907
0.26715105,0.25917387,0.09618783,-1.4479737,1.4741272
0.27200355,0.19251156,0.22701335,-1.5018358,1.5310476
0.27685605,0.11037618,0.30407214,-1.5456371,1.5791254
0.28170855,0.017948151,0.28626132,-1.5514135,1.5777045
0.28656105,-0.068206191,0.17540884,-1.5362959,1.5477808
0.29141355,-0.11784619,-0.012947321,-1.3878703,1.3929248
0.29626605,-0.13429439,-0.20991683,-1.127131,1.1543502
0.30111855,-0.14696872,-0.39720845,-0.76990604,0.8787091
0.30597105,-0.1217435,-0.57109427,-0.35513973,0.68344303
0.31082355,-0.093693614,-0.78461051,0.24590683,0.82756408
0.31567605,-0.029391527,-1.012296,0.89407825,1.3509193
0.3205286,0.069171488,-1.1910641,1.4125528,1.8489792
0.3253811,0.10455358,-1.3617901,1.6813984,2.1662189
0.3302336,0.066498756,-1.5430307,1.6883421,2.2882013
0.3350861,0.043708503,-1.679759,1.6234493,2.3364692
0.3399386,0.040724516,-1.7931859,1.5958834,2.400837
0.3447911,0.04303205,-1.868831,1.4798822,2.3842048
0.3496436,0.017551303,-1.930128,1.2977085,2.3258868
0.3544961,-0.014007568,-1.9060664,1.0689659,2.1854001
0.3593486,-0.032433748,-1.8044571,0.84831333,1.9941797
0.3642011,-0.061441898,-1.6520271,0.59062576,1.7555078
0.36905366,-0.039865732,-1.4347826,0.39753819,1.4893714
0.37390616,-0.020623565,-1.1508329,0.21124458,1.1702418
0.37875866,-0.046135545,-0.84558344,0.017333031,0.84701846
0.38361116,-0.13932407,-0.49541712,-0.13937855,0.53317511
0.38846366,-0.21417439,-0.16693473,-0.26653004,0.38049459
0.39331616,-0.26358712,0.12627387,-0.38583374,0.48403609
0.39816866,-0.29215896,0.36600852,-0.5163002,0.69705451
0.40302116,-0.33719122,0.58621192,-0.64357853,0.93356074
0.40787366,-0.37160993,0.75407505,-0.69439507,1.0903704
0.41272616,-0.41137421,0.85356641,-0.67669868,1.1643562
0.41757866,-0.43976474,0.88988209,-0.57466507,1.1469626
0.42243116,-0.40057826,0.86097097,-0.4223032,1.0392661
0.42728371,-0.32846022,0.75283408,-0.23898792,0.85543001
0.43213621,-0.27610433,0.61554956,-0.069824219,0.67824058
0.43698871,-0.25946057,0.44896126,-0.034980774,0.51972074
0.44184121,-0.2326088,0.30038977,-0.061705589,0.38490056
0.44669371,-0.17154968,0.10301399,-0.082878113,0.21658706
0.45154621,-0.10941911,-0.053051949,-0.088970184,0.1506743
0.45639871,-0.041593909,-0.20885754,-0.028036118,0.21479653
0.46125121,-0.034594774,-0.38137412,0.04955101,0.38613252
0.46610371,-0.080973148,-0.50667834,0.091546059,0.52121039
0.47095621,-0.21594787,-0.60422587,0.14327431,0.65745716
0.47580871,-0.34207904,-0.71423602,0.18788719,0.81391201
0.48066121,-0.41985571,-0.74619818,0.23710442,0.88843066
0.48551376,-0.45475876,-0.72895098,0.21968651,0.88681296
0.49036626,-0.56334078,-0.66962969,0.18119144,0.89363701
0.49521876,-0.67620862,-0.57308984,0.18567944,0.90563067
0.50007126,-0.7723695,-0.43711019,0.25389767,0.92308396
0.50492376,-0.83797884,-0.30209661,0.30454922,0.94139318
0.50977626,-0.88760221,-0.17736912,0.32120609,0.96045346
0.51462876,-0.89531827,-0.024639368,0.29941368,0.94437834
0.51948126,-0.90437138,0.14910913,0.24179649,0.94793812
0.52433376,-0.89824295,0.34410334,0.18175507,0.978919
0.52918626,-0.88438654,0.51766109,0.14293289,1.0346702
0.53403876,-0.84629071,0.68213916,0.098967552,1.0914744
0.53889126,-0.79826653,0.85691738,0.059319496,1.1726277
0.54374376,-0.77357125,0.9994123,0.03339386,1.2642597
0.54859631,-0.7932632,1.1075211,0.061394691,1.3636857
0.55344881,-0.80463278,1.1790209,0.10259056,1.4311006
0.55830131,-0.83590734,1.2258313,0.1380291,1.4901193
0.56315381,-0.80614781,1.1863699,0.16547394,1.4438592
0.56800631,-0.7417978,1.1015174,0.18748283,1.3411765
0.57285881,-0.65743017,0.9905057,0.22788525,1.2104741
0.57771131,-0.55592895,0.86260724,0.34592342,1.0829641
0.58256381,-0.49456584,0.72223139,0.479352,0.99799393
0.58741631,-0.48029101,0.60711765,0.62338257,0.99392008
0.59226881,-0.48900998,0.4691422,0.74721813,1.0087418
0.59712131,-0.52982795,0.34133506,0.84643555,1.0553106
