time,x,y,z,a
0.029862973,0.0,0.0,0.0,0.0
0.034728702,-0.75847912,0.53301573,1.6128483,1.8602892
0.039594379,-1.1306634,1.2232213,3.3288288,3.7223341
0.044460056,-0.69055539,1.340487,2.3469372,2.7896032
0.049325785,-0.006239295,0.69832563,1.2060499,1.3936477
0.054191514,0.69974113,-0.38429308,1.6551991,1.8376623
0.059057191,1.2659559,-1.4500079,1.8626003,2.6785159
0.063922868,1.8329601,-2.2819211,1.0235434,3.1007335
0.068788598,2.2738721,-2.7749116,0.088460922,3.5886564
0.073654327,2.4582634,-2.91465,-0.67705917,3.8725512
0.078520056,2.2634573,-2.6170769,-1.2943735,3.6942838
0.083385785,1.7864982,-2.0555491,-1.7748737,3.2506976
0.088251514,1.0938954,-1.3713651,-2.1877136,2.8041648
0.093117243,0.44537193,-0.72062349,-2.543478,2.6808459
0.097982973,-0.075829566,-0.17069888,-2.6807909,2.6872901
0.1028487,-0.1696451,0.13946271,-2.7324915,2.7413024
0.10771443,-0.49373984,0.27757096,-2.7757893,2.8329897
0.11258016,-0.63314205,0.48220706,-2.7773476,2.8891265
0.11744589,-0.58789319,0.44246888,-2.7545834,2.8511623
0.12231162,-0.25311449,0.11530662,-2.0954723,2.1138512
0.12717735,0.02934739,-0.35623336,-1.4220543,1.4662885
0.13204308,0.058488235,-0.77255559,-0.8464632,1.1475029
0.13690881,-0.10763738,-0.98736095,-0.36737919,1.0589782
0.14177454,-0.3798815,-1.0573862,-0.026259422,1.1238616
0.14664026,-0.80416071,-1.2255194,0.10564613,1.4696031
0.15150599,-0.94049025,-1.0651155,0.30595112,1.4534782
0.15637172,-0.96577531,-0.87518024,0.39725018,1.3625234
0.16123745,-0.88227642,-0.67845774,0.37406063,1.1741541
0.16610318,-0.67932355,-0.45748782,0.31610394,0.87789367
0.17096891,-0.28109223,-0.23474574,0.30271244,0.47513495
0.17583464,0.20476475,-0.092065096,0.34363365,0.41047372
0.18070037,0.72507989,-0.17868924,0.19122124,0.77086721
0.1855661,1.1508009,-0.018145084,0.12910938,1.1581629
0.19043183,1.4138038,0.091371775,-0.052659988,1.4177317
0.19529756,1.5418922,0.43121314,-0.53337479,1.6875618
0.20016329,1.5946239,0.75443554,-1.3555641,2.224759
0.20502901,1.6127814,0.84890556,-1.3436804,2.264328
0.20989474,1.5755639,0.76942635,-1.6859875,2.4324827
0.21476047,1.6932122,0.50876331,-2.7942476,3.3066036
0.2196262,1.6977409,0.24792743,-3.7810192,4.1520957
0.22449193,1.4234457,-0.22425556,-4.3559241,4.5880893
0.22935766,1.1028292,-0.162534,-4.4701862,4.6070831
0.23422339,0.63575172,0.060521841,-4.1430855,4.1920163
0.23908912,0.28841591,0.29921675,-3.6011477,3.6250488
0.24386594,0.16197544,0.50973845,-3.1591411,3.2040976
0.24863641,0.32571316,0.68694878,-2.6063089,2.714928
0.25340599,0.62264574,0.88427258,-2.0359526,2.3053695
0.25817646,1.0064942,1.0231473,-1.5161362,2.0877092
0.26294766,1.1816263,1.2691598,-1.0617809,2.033319
0.26771813,0.8043384,1.7257538,-0.17107201,1.9116621
0.27248771,0.3317273,1.9973462,1.0336952,2.2733149
0.27725818,0.99974644,1.69204,1.5731812,2.5174176
0.28202938,1.6417234,1.4488099,2.0421448,2.9941044
0.28679985,1.9862374,1.2345819,2.145997,3.1740565
0.29156943,2.3848162,0.97442889,1.7854643,3.1344445
0.2963399,2.4494681,0.99076033,1.4903526,3.0335872
0.3011111,2.4919207,1.121222,1.0665474,2.933314
0.30588157,2.3572567,1.4201262,0.75594044,2.8539207
0.31065115,2.3293231,1.6542387,0.44591522,2.8915553
0.31542162,2.299932,1.8292737,0.1034174,2.9405144
0.32019282,2.2796493,1.7423518,-0.27627373,2.8825193
0.32496329,2.3171434,1.1061559,-0.89638996,2.7196047
0.32973287,2.3487041,0.86335778,-0.28280449,2.5182883
0.33450334,1.6208241,0.79117632,-0.36849976,1.8408756
0.33927454,1.1316104,0.96582437,-0.69497776,1.6420575
0.344045,0.77596384,1.2962203,-1.126441,1.8844565
0.34881459,0.65822113,1.2408483,-1.4299822,2.0044472
0.35358506,0.75051188,1.0904539,-1.3454666,1.8874952
0.35835625,0.93892306,1.0313597,-0.92807579,1.6752922
0.36312672,1.1035042,1.1129463,-0.49448586,1.6434376
0.36789631,1.1898155,1.241395,-0.27428055,1.7412502
0.37266678,1.1973901,1.4122202,-0.12521744,1.8557447
0.37743797,1.109951,1.5543375,0.013102531,1.9100073
0.38220844,1.0221885,1.6173384,0.025410652,1.913452
0.38697802,1.0236754,1.5783911,-0.067863464,1.8825077
0.39174849,1.0667595,1.5244746,-0.30365562,1.88526
0.39651969,1.1534237,1.451957,-0.56745434,1.9392188
0.40129016,1.288546,1.4278498,-0.73663235,2.0595468
0.40605974,1.4049268,1.4545922,-0.94976521,2.2342139
0.41083021,1.4581784,1.5413489,-1.1260967,2.4021105
0.41560141,1.4687717,1.6425986,-1.2163897,2.5169474
0.42037188,1.4828362,1.7246859,-1.1859818,2.5651311
0.42514146,1.4957185,1.7376919,-1.0903883,2.538837
0.42991193,1.4007919,1.658483,-0.96318436,2.3749754
0.43468313,1.1826271,1.5305309,-0.80677319,2.0957134
0.4394536,0.93392766,1.3231564,-0.5168829,1.7000387
0.44422318,0.76836371,1.1192336,-0.18898392,1.3706865
0.44899365,0.60553187,0.9603672,0.11331749,1.140971
0.45376485,0.39423409,0.76964879,0.3104372,0.91877692
0.45853532,0.21272184,0.56623697,0.34931087,0.69849336
0.4633049,0.10809643,0.31025243,0.33324051,0.46796436
0.46807537,0.11509027,-0.0017638206,0.33337402,0.35268558
0.47284657,0.24221188,-0.17666602,0.30880737,0.43039455
0.47761704,0.46368098,-0.16814852,0.31155968,0.58338959
0.48238662,0.69887668,0.015063524,0.23221874,0.73660102
0.48715709,0.93376595,0.28118825,0.088132858,0.97915937
0.49192828,1.177542,0.57988453,-0.19589329,1.3271192
0.49669875,1.4248416,0.91359591,-0.56406116,1.7840953
0.50146834,1.6227844,1.1831686,-0.96356297,2.2275033
0.50623881,1.7835449,1.4538443,-1.3729029,2.6794697
0.51101,1.8495528,1.6741371,-1.7329168,3.0375288
0.51578047,1.8361226,1.83108,-2.1319695,3.3570067
0.52055006,1.6803385,1.9286349,-2.4420285,3.5364775
0.52532052,1.371102,1.8971345,-2.4698706,3.4028372
0.53009172,0.94935805,1.7448473,-2.0901465,2.8834849
0.53486219,0.53284204,1.5879588,-1.4841146,2.2378852
0.53963178,0.17610246,1.3444953,-1.096776,1.7440176
0.54440224,-0.066138744,1.087795,-0.93781185,1.4377633
0.54917344,-0.25924546,0.76579475,-1.0123692,1.2955852
0.55394391,-0.29197663,0.45080709,-1.2118883,1.3255756
0.55871349,-0.14329511,0.39476943,-1.3670788,1.4301331
0.56348396,0.015917003,0.3087647,-1.4262562,1.459382
0.56825521,-0.077094734,0.058239937,-1.6442175,1.6470539
0.57302563,-0.30389029,-0.10065842,-1.9416637,1.9678769
0.57779521,-0.53387445,-0.084646463,-2.2138882,2.2789225
0.58256568,-0.59256506,0.098238945,-2.3213253,2.3977772
0.58733693,-0.47284949,0.37965798,-2.3102622,2.3885222
0.59210735,-0.2880308,0.58730578,-2.2905993,2.3821703
0.59687693,-0.15250617,0.66423082,-2.3594804,2.4559333
0.6016474,-0.035280943,0.61831045,-2.3926549,2.4715076
0.6064186,0.1693694,0.51204348,-2.4566975,2.5152012
0.61118907,0.43336934,0.36059761,-2.6131091,2.6732338
0.61595865,0.93777406,-0.21952677,-2.9182072,3.0730352
0.62072912,0.65280795,-0.10691929,-2.7774339,2.8551233
0.62550037,0.041974723,0.32759166,-3.0468946,3.0647422
0.63027078,-0.52802318,0.54047537,-3.3439536,3.4282573
0.63504037,-0.98114926,0.4409585,-3.2815657,3.453371
0.63981084,-1.2724557,0.1599617,-3.282958,3.524563
0.64458209,-1.3597043,-0.10850906,-3.4546809,3.7142146
0.6493525,-1.3936641,-0.36680865,-3.5889592,3.8674897
0.65412209,-1.5047553,-0.50584817,-3.6528831,3.9829292
0.65889256,-1.6229551,-0.66223383,-3.6825261,4.0784232
0.66366381,-1.5645591,-0.99106479,-3.7277594,4.1624806
0.66843422,-1.4422274,-1.3235875,-3.624177,4.1190487
0.67320381,-1.2618257,-1.5278094,-3.505403,4.0266929
0.67797433,-1.1457312,-1.5508229,-3.3996434,3.9083663
0.68274553,-1.1484261,-1.6106621,-3.2378139,3.7942791
0.68751594,-0.96178198,-1.6347183,-2.6446695,3.2544747
0.69228553,-0.59155536,-1.6328441,-2.1594934,2.7711964
0.69705605,-0.48397738,-1.5940499,-2.7078934,3.1792949
0.70182724,-0.47587317,-1.3395938,-3.5273075,3.8030074
0.70659766,-0.59809214,-1.049866,-4.0100317,4.1881126
0.71136724,-0.70921206,-1.1016762,-4.0466347,4.2534603
0.71613776,-0.54639894,-1.1108793,-3.8634477,4.0569487
0.72090896,-0.14221898,-1.0445913,-3.7590222,3.904055
0.72567938,0.37152034,-1.0239246,-3.7544327,3.9092472
0.73044896,0.74440885,-1.2250534,-3.8852057,4.1412225
0.73521948,0.90626198,-1.4109426,-4.2980375,4.6135882
0.73999068,0.92870474,-1.4493394,-4.5060649,4.8236602
0.7447611,0.8925122,-1.37503,-4.4843316,4.7745697
0.74953068,0.96905482,-1.3056166,-4.4670734,4.7537824
0.7543012,1.1828239,-1.2533802,-4.3898125,4.7159822
0.7590724,1.3088304,-1.1638542,-4.3739438,4.7115791
0.76384282,1.2735596,-1.1134659,-4.3071685,4.6274681
0.76861245,1.1415228,-1.1494833,-4.1064682,4.4144611
0.77338292,0.89032626,-1.2567836,-3.8273416,4.1256187
0.77815412,0.54835337,-1.3725076,-3.460897,3.76328
0.78292454,0.20258637,-1.3245045,-3.0294352,3.3125263
0.78769417,-0.23347285,-1.0981847,-2.626687,2.8565721
0.79246464,-0.7796163,-0.69144869,-2.3551531,2.575393
0.79723584,-1.3399818,-0.13394856,-2.1832228,2.5651423
0.80200631,-1.8374532,0.63207221,-2.0339832,2.8129766
0.80677589,-2.1925778,1.4569921,-1.8831992,3.2367674
0.81154636,-2.2800462,2.247685,-1.6524196,3.6029417
0.81631756,-2.0499969,2.8442414,-1.3950863,3.7733886
0.82108802,-1.45821,3.2578464,-1.0126214,3.7101673
0.82585761,-0.7504316,3.5141854,-0.43091965,3.6191627
0.83062808,-0.00094425678,3.6499925,0.49539661,3.6834581
0.83539928,0.72937775,3.7862632,1.7187557,4.2215995
0.84016974,1.2333801,3.9062252,3.3828497,5.3125788
0.84493933,1.3357618,3.8016281,5.5049753,6.822125
0.8497098,0.91916919,3.3997521,8.0576153,8.793654
0.85448105,0.35633624,2.6776886,10.720943,11.056022
0.85925146,-0.33286512,1.8002443,13.878627,13.998856
0.86402105,-1.1929247,0.9404521,17.041477,17.109046
0.86879157,-1.9177407,0.22458363,20.00872,20.101668
0.87356276,-2.5475154,-0.29976892,22.323767,22.470653
0.87833318,-2.7541537,-0.6624074,23.786427,23.954503
0.88310276,-2.6829646,-0.84279394,24.315739,24.477822
0.88787329,-2.3224363,-1.0368115,24.23727,24.37035
0.89264448,-1.5188322,-1.0954088,23.489079,23.563607
0.8974149,-0.60764241,-0.97244036,22.245113,22.274648
0.90218454,0.41117889,-0.71752596,20.852127,20.86852
0.906955,1.5251455,-0.46652246,19.512341,19.577414
0.9117262,2.4260416,-0.21978259,18.203373,18.365641
0.91649667,3.0762379,0.0807302,17.048412,17.323918
0.92126625,3.301419,0.43006015,15.906019,16.250716
0.92603672,3.170655,0.78536034,14.599714,14.960665
0.93080792,2.7854297,1.0096221,13.041747,13.374047
0.93557839,2.1980081,1.0600424,11.39225,11.650678
0.94034797,1.4391502,1.0991971,9.6153488,9.7843917
0.94511844,0.71724439,1.2079215,7.789731,7.9153915
0.94988969,0.041265897,1.3901041,6.0819693,6.2389456
0.95466011,-0.47055715,1.6152802,4.6176796,4.914623
0.95942969,-0.77447277,1.8022242,3.4530973,3.9713601
0.96420021,-0.88643187,1.914573,2.5324841,3.2961836
0.96897141,-0.97796977,1.9866278,1.8910027,2.9118733
0.97374183,-1.1112397,2.0228605,1.5780172,2.7958821
0.97851146,-1.3283063,1.9717631,1.6997614,2.9225736
0.98328193,-1.6517067,1.7853713,2.1953487,3.2764679
0.98805313,-1.9121963,1.4819505,2.7874861,3.6909011
0.99282354,-2.1540136,1.3806269,3.2761707,4.1568257
0.99759318,-2.2501132,1.3594213,3.4599085,4.3453426
1.0023637,-2.1934693,1.3319008,3.4238415,4.2787799
1.0071348,-2.0654039,1.3749135,3.1028194,3.9728792
1.0119053,-1.8397057,1.4302652,2.5940094,3.4869844
1.0166749,-1.5649035,1.4575965,1.7845287,2.7853282
1.0214454,-1.2793932,1.4110081,0.68078613,2.0226865
1.0262166,-0.9957999,1.2983525,-0.80171394,1.8221092
1.030987,-0.89017963,1.1663761,-2.5307474,2.9253266
1.0357566,-0.86511016,0.96436024,-4.3845119,4.5719089
1.0405271,-0.87442064,0.70124984,-6.2181048,6.3183218
1.0452983,-0.8776471,0.42860484,-7.8706965,7.9310674
1.0500688,-0.85977471,0.18727374,-9.2106333,9.2525699
1.0548384,-0.7853412,-0.13793445,-10.189981,10.221131
1.0596089,-0.60546339,-0.50262833,-10.925183,10.953486
1.0643801,-0.22738501,-0.91103423,-11.441383,11.479849
1.0691505,0.22725508,-1.1891638,-11.71818,11.780556
1.0739201,0.67879683,-0.96661305,-11.873248,11.931853
1.0786906,1.0077342,-0.75441456,-11.771024,11.838145
1.0834618,1.0816612,-0.81088018,-11.688706,11.766621
1.0882322,0.90109527,-0.85871804,-11.778611,11.844199
1.0930018,0.75288647,-1.1459564,-11.584919,11.665779
1.0977723,0.50005639,-1.4908882,-11.285028,11.394062
1.1025435,0.064915448,-1.6721613,-10.969734,11.096639
1.107314,-0.49369773,-1.793474,-10.557846,10.720466
1.1120836,-1.0571101,-2.0271378,-10.032835,10.290022
1.1168541,-1.4778526,-2.2420974,-9.5402756,9.9109993
1.1216253,-1.7438571,-2.4910009,-9.1061306,9.600403
1.1263957,-1.7876017,-2.6571136,-8.6467628,9.2207527
1.1311653,-1.7102036,-2.8362021,-8.3553839,8.9878406
1.1359358,-1.7142963,-3.0182259,-8.331769,9.0259002
1.140707,-1.8428829,-3.1785443,-8.3657055,9.1369792
1.1454775,-1.9453251,-3.3735194,-8.3383894,9.2029159
1.1502471,-1.9779899,-3.5092704,-8.3624792,9.2821593
1.1550176,-1.8635457,-3.6518946,-8.3998995,9.3470556
1.1597888,-1.6410697,-3.7772098,-8.3433084,9.3043656
1.1645592,-1.5024967,-3.7088716,-8.328721,9.2401742
1.1693288,-1.3813933,-3.4980855,-8.3889847,9.1934712
1.1740993,-1.334946,-3.2243745,-8.5783281,9.2610143
1.1788705,-1.2373401,-2.9334829,-8.8388729,9.3947861
1.1836409,-1.2817618,-2.6060486,-9.0775347,9.5307942
1.1884106,-1.5324119,-2.2825711,-9.1419153,9.5463623
1.193181,-1.4217539,-2.137661,-8.8916588,9.2548676
1.1979522,-1.0242778,-2.4580083,-8.5965462,8.9995309
1.2027227,-0.62375844,-2.6757212,-8.1131535,8.5657351
1.2074923,-0.24955939,-2.7847183,-7.5396852,8.0413798
1.2122628,-0.011666656,-2.8857453,-7.4222603,7.9635174
1.217034,0.21055602,-2.997695,-7.5757594,8.1500086
1.2218044,0.42069876,-3.0677695,-7.660984,8.2631032
1.2265741,0.60910845,-3.2745247,-7.4474545,8.158315
1.2313445,0.74490219,-3.5194833,-7.1846347,8.0349622
1.2361157,0.84862781,-3.9810469,-7.1469889,8.2248619
1.2408862,0.736835,-4.2790294,-7.2479558,8.4490166
1.2456558,0.21553087,-4.0574355,-7.2302399,8.2937088
1.2504263,-0.37920648,-3.8573198,-7.316617,8.2798308
1.2551975,-0.827896,-3.6076562,-7.4761276,8.3422467
1.2599679,-0.93456239,-3.4310122,-7.6445193,8.4311285
1.2647376,-0.82272363,-3.371675,-7.6908011,8.4376234
1.269508,-0.49302691,-3.4154119,-7.5436516,8.2954683
1.2742792,-0.083967865,-3.53234,-7.0888729,7.9206437
1.2790497,0.37365222,-3.5359852,-6.3819628,7.3056318
1.2838193,0.90981507,-3.4768262,-5.5069361,6.5758976
1.2885898,1.4956312,-3.3097579,-4.6285524,5.8834436
1.293361,2.0112085,-2.9850695,-3.6890755,5.1541127
1.2981314,2.4082971,-2.519891,-2.6307378,4.3669814
